,Info: Tipo,Info: Empresa,Info: Setor,Info: Subsetor,PriceInfo: Cotação,PriceInfo: Data últ cot,PriceInfo: Min 52 sem,PriceInfo: Max 52 sem,PriceInfo: Vol $ méd (2m),MarketValue: Valor de mercado,MarketValue: Valor da firma,MarketValue: Últ balanço processado,MarketValue: Nro Ações,Oscilations: Dia,Oscilations: Mês,Oscilations: 30 dias,Oscilations: 12 meses,Oscilations: 2020,Oscilations: 2019,Oscilations: 2018,Oscilations: 2017,Oscilations: 2016,Oscilations: 2015,,FundamentalIndicators: P/L,FundamentalIndicators: P/VP,FundamentalIndicators: P/EBIT,FundamentalIndicators: PSR,FundamentalIndicators: P/Ativos,FundamentalIndicators: P/Cap Giro,FundamentalIndicators: P/Ativ Circ Liq,FundamentalIndicators: Div Yield,FundamentalIndicators: EV / EBITDA,FundamentalIndicators: EV / EBIT,FundamentalIndicators: Cres Rec (5a),FundamentalIndicators: LPA,FundamentalIndicators: VPA,FundamentalIndicators: Marg Bruta,FundamentalIndicators: Marg EBIT,FundamentalIndicators: Marg Líquida,FundamentalIndicators: EBIT / Ativo,FundamentalIndicators: ROIC,FundamentalIndicators: ROE,FundamentalIndicators: Liquidez Corr,FundamentalIndicators: Div Br/ Patrim,FundamentalIndicators: Giro Ativos,BalanceSheet: Ativo,BalanceSheet: Disponibilidades,BalanceSheet: Ativo Circulante,BalanceSheet: Dív Bruta,BalanceSheet: Dív Líquida,BalanceSheet: Patrim Líq,Demonstrative12M: Receita Líquida,Demonstrative12M: EBIT,Demonstrative12M: Lucro Líquido,Demontrative3M: Receita Líquida,Demontrative3M: EBIT,Demontrative3M: Lucro Líquido,BalanceSheet: Cart de Crédito,BalanceSheet: Depósitos,Demonstrative12M: Result Int Financ,Demonstrative12M: Rec Serviços,Demontrative3M: Result Int Financ,Demontrative3M: Rec Serviços
SPRI6,PNB,SPRINGER PNB,Utilidades Domésticas,Eletrodomésticos,2200,27/04/2020,580,2414,446,55638000,52247000,31/12/2019,2529000,0.00%,0.00%,0.00%,189.47%,120.44%,-33.47%,0.00%,0.00%,6.45%,3.33%,,-1001,159,-993,-,150,-,-,0.0%,-940,-933,-71.4%,-220,1380,-,-,0.0%,-15.1%,-,-15.9%,-,-,-,37102000,3391000,12175000,0,-3391000,34904000,0,-5602000,-5558000,0,-1855000,-4256000,,,,,,
KLBN11,UNT N2,KLABIN UNT N2,Madeira e Papel,Papel e Celulose,2051,26/06/2020,1281,2325,185628000,22759900000,43141100000,31/03/2020,5548500000,0.74%,4.06%,8.81%,30.00%,11.52%,21.76%,-4.93%,2.89%,-22.24%,67.64%,,-992,789,1151,219,067,252,-124,3.2%,987,2181,15.8%,-207,260,34.3%,19.1%,-21.5%,5.8%,7.8%,-79.5%,393,956,031,33839200000,7214980000,12108900000,27596100000,20381100000,2885760000,10373200000,1977780000,-2293890000,2591390000,598108000,-3170510000,,,,,,
KLBN4,PN N2,KLABIN PN N2,Madeira e Papel,Papel e Celulose,407,26/06/2020,255,465,11270600,22582400000,42963500000,31/03/2020,5548500000,0.49%,4.09%,9.12%,37.00%,14.76%,31.67%,-3.89%,14.12%,-22.01%,40.09%,,-984,783,1142,218,067,250,-123,3.2%,983,2172,15.8%,-041,052,34.3%,19.1%,-21.5%,5.8%,7.8%,-79.5%,393,956,031,33839200000,7214980000,12108900000,27596100000,20381100000,2885760000,10373200000,1977780000,-2293890000,2591390000,598108000,-3170510000,,,,,,
AMAR3,ON NM,LOJAS MARISA ON NM,Comércio,Tecidos. Vestuário e Calçados,817,26/06/2020,375,1528,66366000,2137820000,3138870000,31/03/2020,261667000,-0.61%,7.64%,17.55%,10.41%,-38.48%,155.88%,-28.41%,21.64%,22.89%,-63.23%,,-974,161,685,075,063,266,-889,0.0%,493,1006,-1.9%,-084,506,45.1%,11.0%,-10.0%,9.1%,11.2%,-16.6%,176,095,083,3418120000,251314000,1853790000,1252370000,1001050000,1323970000,2847580000,311916000,-219475000,569772000,17303000,-107114000,,,,,,
PLAS3,ON,PLASCAR PARTICIPAÇÕES INDUSTRIAIS SA ON,Material de Transporte,Material Rodoviário,532,26/06/2020,375,920,64506,66101000,244474000,31/12/2019,12425000,-0.19%,23.72%,27.88%,5.56%,-28.59%,-11.31%,44.83%,35.51%,105.77%,-83.36%,,-969,-092,-129,016,010,-037,-012,0.0%,2675,-476,-3.4%,-055,-581,7.7%,-12.6%,-1.7%,-8.1%,-8.7%,9.5%,044,-271,065,631482000,17383000,142117000,195756000,178373000,-72203000,407550000,-51412000,-6825000,117413000,-2239000,119856000,,,,,,
CEDO3,ON,CIA DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA ON,Tecidos. Vestuário e Calçados,Fios e Tecidos,1490,26/06/2020,541,1802,83074,149000000,366275000,31/12/2019,10000000,0.00%,53.93%,70.48%,148.33%,65.56%,32.35%,-38.18%,83.33%,-25.00%,-11.11%,,-849,086,161957,022,020,-1430,-067,0.0%,1792,398125,14.1%,-176,1726,11.2%,0.0%,-2.0%,0.0%,0.0%,-10.2%,097,138,092,732471000,20523000,315249000,237798000,217275000,172634000,677334000,92000,-17553000,177651000,5501000,-12612000,,,,,,
MSPA4,PN,MELHORAMENTOS PN,Madeira e Papel,Papel e Celulose,5150,12/06/2020,4812,5150,240,329858000,354551000,31/03/2020,6405000,0.00%,0.00%,0.00%,8.26%,0.00%,7.74%,31.39%,32.77%,29.92%,1.01%,,-775,038,-934,273,023,478,-074,0.0%,-1760,-1004,-25.6%,-665,13575,35.2%,-29.3%,-35.3%,-2.5%,-2.6%,-4.9%,274,007,008,1426660000,33557000,108812000,58251000,24694000,869463000,120627000,-35304000,-42564000,29217000,-9601000,-12853000,,,,,,
MSPA3,ON,MELHORAMENTOS ON,Madeira e Papel,Papel e Celulose,4700,18/06/2020,4500,5500,602,301035000,325729000,31/03/2020,6405000,0.00%,1.08%,1.08%,-6.00%,-6.00%,5.09%,13.20%,19.68%,87.71%,-12.49%,,-707,035,-853,250,021,436,-067,0.0%,-1617,-923,-25.6%,-665,13575,35.2%,-29.3%,-35.3%,-2.5%,-2.6%,-4.9%,274,007,008,1426660000,33557000,108812000,58251000,24694000,869463000,120627000,-35304000,-42564000,29217000,-9601000,-12853000,,,,,,
SPRI3,ON,SPRINGER ON,Utilidades Domésticas,Eletrodomésticos,1465,26/06/2020,650,2750,67439,37049800,33658800,31/12/2019,2529000,8.04%,38.21%,38.47%,117.04%,49.95%,35.51%,-24.03%,0.85%,-5.90%,-33.33%,,-667,106,-661,-,100,-,-,0.0%,-605,-601,-71.4%,-220,1380,-,-,0.0%,-15.1%,-,-15.9%,-,-,-,37102000,3391000,12175000,0,-3391000,34904000,0,-5602000,-5558000,0,-1855000,-4256000,,,,,,
ADHM3,,VITALYZEME,Prods de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,249,26/06/2020,110,335,190120,40606900,40606900,30/09/2019,16308000,-0.40%,6.41%,8.26%,115.66%,13.59%,74.67%,-26.47%,-35.44%,0.00%,0.00%,,-652,-205,-908,123051,16780,-228,-203,0.0%,-927,-908,43.5%,-038,-121,100.0%,-13548.5%,-18860.6%,-1847.5%,521.7%,31.5%,000,-,014,242000,0,23000,0,0,-19776000,33000,-4471000,-6224000,33000,-993000,-2492000,,,,,,
CTNM3,ON,COTEMINAS ON,Tecidos. Vestuário e Calçados,Fios e Tecidos,1105,26/06/2020,600,1759,99982,338528000,1645740000,31/12/2019,30636000,-3.91%,43.51%,38.99%,16.32%,-1.43%,38.74%,34.67%,80.72%,-4.60%,-30.40%,,-604,034,763,018,008,153,-036,0.0%,1124,3711,-10.0%,-183,3261,29.3%,2.4%,-2.3%,1.0%,1.1%,-5.6%,116,153,043,4309710000,224944000,1569100000,1532150000,1307210000,999012000,1865800000,44349000,-56085000,475028000,-1086990,-24256000,,,,,,
SPRI5,PNA,SPRINGER PNA,Utilidades Domésticas,Eletrodomésticos,1225,25/06/2020,505,1918,5755,30980200,27589200,31/12/2019,2529000,0.00%,39.20%,39.84%,80.15%,19.51%,210.61%,-58.75%,-2.56%,-55.62%,-9.76%,,-557,089,-553,-,084,-,-,0.0%,-496,-492,-71.4%,-220,1380,-,-,0.0%,-15.1%,-,-15.9%,-,-,-,37102000,3391000,12175000,0,-3391000,34904000,0,-5602000,-5558000,0,-1855000,-4256000,,,,,,
MNDL3,ON,MUNDIAL S/A ON,Tecidos. Vestuário e Calçados,Acessórios,2300,26/06/2020,1910,3700,175579,57040000,255996000,31/12/2019,2480000,-8.11%,6.48%,16.40%,-32.33%,-34.53%,30.11%,18.47%,117.46%,75.25%,-18.64%,,-551,-039,156,012,006,-009,-006,0.0%,513,701,4.9%,-418,-5860,33.7%,7.5%,-2.1%,3.5%,3.7%,7.1%,029,-140,047,1037080000,4549000,261541000,203505000,198956000,-145320000,485894000,36493000,-10361000,136089000,12277000,-2824000,,,,,,
PINE4,PN,Pine PN,Financeiros,Bancos,295,26/06/2020,153,490,1019340,437066000,-,31/03/2020,148158000,-0.34%,7.66%,13.46%,26.61%,-29.76%,90.05%,-36.86%,-11.62%,16.47%,-31.73%,,-548,052,-,-,-,-,-,0.0%,-,-,-26.0%,-054,568,-,-,0.0%,0.0%,-,-9.5%,-,-,-,11330000000,,,,,841823000,,,-79744000,,,-2282000,2462670000,6312290000,-85269000,35151000,39542000,7625000
DTCY3,ON,DTCOM ON,Serviços,Serviços Diversos,705,26/06/2020,266,740,30275,54912400,55235400,31/12/2019,7789000,-0.42%,28.18%,22.61%,173.98%,55.79%,112.50%,-29.41%,-5.56%,-21.74%,15.00%,,-506,1178,-892,472,190,-649,-300,0.0%,-1797,-897,-1.5%,-139,060,3.1%,-52.9%,-93.4%,-21.3%,-26.2%,-233.1%,041,061,040,28847000,2521000,5896000,2844000,323000,4661000,11628000,-6157000,-10863000,3228000,-918000,-3422000,,,,,,
BSEV3,ON NM,BIOSEV ON NM,Alimentos,Açucar e Alcool,342,26/06/2020,232,767,358186,3489870000,9126590000,31/12/2019,1020430000,-1.72%,30.04%,31.03%,41.32%,20.85%,-7.52%,-32.15%,-39.38%,54.04%,-32.35%,,-449,1566,961,059,034,1780,-052,0.0%,436,2514,-0.9%,-076,022,14.3%,6.1%,-13.1%,3.5%,3.8%,-348.5%,106,2651,058,10269600000,269429000,3330090000,5906160000,5636730000,222826000,5933470000,362991000,-776624000,1389550000,44155000,2957000,,,,,,
MDNE3,ON NM,MOURA DUBEUX ON NM,Construção e Engenharia,Construção Civil,714,26/06/2020,431,1850,4065040,606250000,716982000,31/03/2020,84909000,-0.28%,1.71%,-2.72%,-61.41%,-61.41%,0.00%,0.00%,0.00%,0.00%,0.00%,,-442,056,2559,198,027,081,970,0.0%,2716,3026,-20.6%,-162,1269,31.7%,7.7%,-46.0%,1.1%,1.1%,-12.7%,264,021,014,2217030000,119654000,1203070000,230386000,110732000,1077540000,306422000,23694000,-137174000,66324000,-7096000,-32254000,,,,,,
CEDO4,PN,CIA DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA PN,Tecidos. Vestuário e Calçados,Fios e Tecidos,741,26/06/2020,429,1350,100122,74100000,291375000,31/12/2019,10000000,0.68%,40.08%,48.20%,23.50%,-14.63%,44.67%,-12.02%,139.30%,-63.83%,-19.59%,,-422,043,80544,011,010,-711,-033,0.0%,1426,316712,14.1%,-176,1726,11.2%,0.0%,-2.0%,0.0%,0.0%,-10.2%,097,138,092,732471000,20523000,315249000,237798000,217275000,172634000,677334000,92000,-17553000,177651000,5501000,-12612000,,,,,,
SHOW3,ON NM,TIME FOR FUN ON NM,Viagens e Lazer,Produção de Eventos e Shows,263,26/06/2020,125,675,2364160,177528000,118592000,31/03/2020,67501000,-1.50%,57.49%,63.35%,-51.30%,-57.92%,-14.50%,3.69%,33.27%,81.79%,4.30%,,-353,065,-542,058,027,143,-3549,0.0%,-847,-362,-17.6%,-074,408,14.1%,-10.7%,-16.9%,-5.0%,-8.3%,-18.3%,149,059,047,655446000,222507000,376762000,163571000,-58936000,275141000,305583000,-32738000,-50261000,32493000,-10092000,-13797000,,,,,,
SUZB3,ON,Suzano Papel ON,Madeira e Papel,Papel e Celulose,3788,26/06/2020,2462,5059,411639000,51564700000,117789000000,31/03/2020,1361260000,-0.53%,0.05%,0.00%,13.45%,-4.54%,5.34%,104.73%,36.50%,-22.35%,72.91%,,-343,1134,1553,189,049,1175,-064,0.0%,1387,3548,27.1%,-1103,334,23.7%,12.2%,-55.0%,3.1%,3.6%,-330.1%,129,1666,026,105442000000,9557490000,19657800000,75781700000,66224200000,4547770000,27294700000,3319820000,-15013200000,6980790000,1331020000,-13422500000,,,,,,
CTNM4,PN,COTEMINAS PN,Tecidos. Vestuário e Calçados,Fios e Tecidos,586,26/06/2020,390,1194,262925,179527000,1486730000,31/12/2019,30636000,-4.40%,22.08%,30.22%,-33.41%,-41.81%,38.32%,16.67%,70.49%,63.39%,-18.84%,,-320,018,405,010,004,081,-019,0.0%,1015,3352,-10.0%,-183,3261,29.3%,2.4%,-2.3%,1.0%,1.1%,-5.6%,116,153,043,4309710000,224944000,1569100000,1532150000,1307210000,999012000,1865800000,44349000,-56085000,475028000,-1086990,-24256000,,,,,,
TCSA3,ON NM,TECNISA ON NM,Construção e Engenharia,Construção Civil,1212,26/06/2020,600,2190,26447000,892262000,990250000,31/03/2020,73619000,-5.31%,61.60%,75.65%,-11.53%,-33.77%,26.21%,-29.61%,-3.74%,-4.46%,-24.32%,,-284,101,-879,300,055,371,-554,0.0%,-1057,-975,-23.9%,-427,1198,-5.1%,-34.1%,-107.4%,-6.3%,-7.2%,-35.6%,173,035,018,1617760000,206589000,568955000,304577000,97988000,882145000,297594000,-101545000,-314241000,44057000,-27567000,-58420000,,,,,,
TESA3,ON NM,TERRA SANTA ON NM,Agropecuária,Agricultura,1490,26/06/2020,979,2450,912410,322689000,1320970000,31/03/2020,21657000,-0.67%,30.13%,27.35%,0.00%,-32.27%,79.74%,-17.80%,48.90%,25.79%,-73.76%,,-274,041,325,030,013,-343,-033,0.0%,834,1330,6.5%,-543,3625,16.5%,9.3%,-11.0%,3.9%,4.5%,-15.0%,089,130,042,2552060000,24494000,775913000,1022780000,998283000,785162000,1067230000,99300000,-117631000,507944000,117512000,11764000,,,,,,
LLIS3,ON,LE LIS BLANC DEUX ON,Comércio,Tecidos. Vestuário e Calçados,718,26/06/2020,386,2548,2420750,494350000,1498160000,31/12/2019,68851000,-2.71%,24.87%,35.73%,-72.46%,-57.76%,-35.53%,-12.16%,46.94%,70.82%,-74.48%,,-256,022,-251,052,012,-323,-049,0.0%,-5368,-760,-3.3%,-280,3315,47.5%,-20.7%,-20.2%,-4.6%,-5.7%,-8.5%,087,065,022,4284090000,478002000,996521000,1481820000,1003810000,2282310000,954083000,-197246000,-192996000,246614000,-181900000,-181921000,,,,,,
BRKM3,ON N1,BRASKEM ON N1,Químicos,Petroquímicos,2442,26/06/2020,1386,3891,738268,19468100000,45965900000,31/03/2020,797219000,-1.17%,-14.62%,-3.33%,-28.37%,-22.57%,-28.82%,9.00%,49.12%,112.31%,62.94%,,-249,-1947,1146,037,025,333,-036,3.4%,844,2705,3.0%,-980,-125,11.7%,3.3%,-16.0%,2.2%,3.1%,780.8%,129,-3884,067,77177000000,12347400000,25777700000,38845300000,26497900000,-1000160000,51970200000,1699400000,-7809320000,12624600000,213507000,-3649020000,,,,,,
EMBR3,ON,EMBRAER ON,Material de Transporte,Material Aeronáutico,783,26/06/2020,619,2050,178282000,5797840000,4189420000,31/03/2020,740465000,-3.93%,9.51%,17.92%,-58.83%,-60.31%,-8.99%,8.89%,27.14%,-46.72%,21.50%,,-238,035,1182,054,010,054,085,0.0%,302,854,-14.9%,-329,2239,14.8%,4.6%,-22.6%,0.9%,1.0%,-14.7%,130,022,019,57435900000,5201990000,47172600000,3593570000,-1608420000,16580900000,10649000000,490344000,-2432500000,1693230000,205752000,-1276490000,,,,,,
BRKM5,PNA N1,BRASKEM PNA N1,Químicos,Petroquímicos,2291,26/06/2020,1007,3900,115003000,18264300000,44762100000,31/03/2020,797219000,-2.05%,-17.41%,-13.45%,-34.07%,-23.25%,-35.24%,15.28%,28.76%,37.82%,67.14%,,-234,-1826,1075,035,024,312,-034,3.7%,822,2634,3.0%,-980,-125,11.7%,3.3%,-16.0%,2.2%,3.1%,780.8%,129,-3884,067,77177000000,12347400000,25777700000,38845300000,26497900000,-1000160000,51970200000,1699400000,-7809320000,12624600000,213507000,-3649020000,,,,,,
AZEV3,ON,AZEVEDO & TRAVASSOS ON,Construção e Engenharia,Construção Pesada,1382,26/06/2020,250,2200,567982,74628000,108609000,31/12/2019,5400000,-7.87%,253.45%,263.68%,200.44%,105.66%,-85.07%,262.90%,-0.80%,74.83%,-39.92%,,-209,-030,-558,4257,135,-038,-027,0.0%,-1024,-811,-68.9%,-663,-4562,-398.0%,-763.5%,-2041.2%,-24.2%,-52.3%,14.5%,010,-014,003,55305000,46000,21255000,34027000,33981000,-246370000,1753000,-13384000,-35784000,-95847000,92518000,221217000,,,,,,
GPIV33,DR3,GP INVESTMENTS. LTD DR3,Holdings Diversificadas,Holdings Diversificadas,430,26/06/2020,277,760,962014,471907000,-348271000,31/03/2020,109746000,-4.87%,26.84%,31.90%,-8.51%,-34.85%,42.86%,-19.93%,-17.10%,-9.61%,33.91%,,-199,037,-090,-158,017,059,165,0.0%,066,066,143.6%,-216,1169,100.0%,176.5%,215.1%,-18.9%,-27.1%,-18.5%,1114,-,-011,2787020000,820178000,882973000,0,-820178000,1283040000,-298656000,-527204000,-237523000,-1041280000,-1059240000,-511876000,,,,,,
BRKM6,PNB N1,BRASKEM PNB N1,Químicos,Petroquímicos,1901,19/06/2020,1800,2900,261,15155100000,41653000000,31/03/2020,797219000,0.00%,2.76%,0.90%,-61.35%,-20.79%,-48.75%,6.00%,2.01%,195.23%,66.89%,,-194,-1515,892,029,020,259,-028,3.2%,765,2451,3.0%,-980,-125,11.7%,3.3%,-16.0%,2.2%,3.1%,780.8%,129,-3884,067,77177000000,12347400000,25777700000,38845300000,26497900000,-1000160000,51970200000,1699400000,-7809320000,12624600000,213507000,-3649020000,,,,,,
JBDU3,ON,J B DUARTE ON,Holdings Diversificadas,Holdings Diversificadas,347,26/06/2020,185,798,67644,17415900,22028900,30/09/2019,5019000,-5.96%,79.79%,84.57%,-0.29%,5.15%,-66.97%,-71.54%,-42.08%,-89.89%,194.84%,,-148,026,-160,-,009,-,-,0.0%,-202,-202,-,-235,1356,-,-,0.0%,-5.7%,-,-17.3%,-,-,-,191199000,1000,7000,4614000,4613000,68038000,0,-10898000,-11781000,0,0,-292000,,,,,,
TPIS3,ON NM,TRIUNFO PARTICIPACOES SA ON NM,Transporte,Exploração de Rodovias,126,26/06/2020,072,241,811256,221760000,2048590000,31/03/2020,176000000,-2.33%,17.76%,32.63%,-21.74%,-25.44%,8.33%,-49.68%,6.16%,-28.08%,-35.56%,,-140,032,-439,022,006,-025,-008,0.0%,520,-4056,-16.1%,-090,398,11.1%,-4.9%,-18.1%,-1.4%,-1.4%,-22.6%,022,277,028,3682960000,115858000,248543000,1942690000,1826830000,700585000,1025220000,-50507000,-158328000,253908000,12880000,-14943000,,,,,,
HBTS5,PNA,CIA HABITASUL PNA,Holdings Diversificadas,Holdings Diversificadas,1045,26/06/2020,874,1422,4359,95447000,215158000,31/03/2020,9133690,0.00%,16.11%,16.11%,10.59%,-15.95%,46.03%,7.13%,16.47%,46.58%,-41.13%,,-123,040,-123,1082,008,-210,-011,0.5%,-284,-277,-33.6%,-851,2611,-7.6%,-879.3%,-880.6%,-6.3%,-6.4%,-32.6%,075,052,001,1227340000,4347000,136795000,124058000,119711000,238465000,8823000,-77579000,-77713000,22796000,4608000,5559000,,,,,,
SGPS3,ON NM,Springs ON NM,Tecidos. Vestuário e Calçados,Fios e Tecidos,725,26/06/2020,387,1524,1181650,362500000,1204870000,31/03/2020,50000000,-7.99%,31.34%,28.32%,-20.85%,-41.01%,78.12%,-36.17%,154.35%,47.06%,24.57%,,-115,029,581,026,011,132,-046,0.0%,798,1931,-15.3%,-633,2464,32.3%,4.5%,-22.9%,1.9%,2.2%,-25.7%,130,084,043,3207870000,191439000,1188430000,1033800000,842366000,1231790000,1384270000,62382000,-316434000,302414000,-767000,-202778000,,,,,,
JFEN3,ON,JOÃO FORTES ENGENHARIA SA ON,Construção e Engenharia,Construção Civil,435,26/06/2020,149,1081,538513,457637000,1060630000,31/12/2018,105204000,-3.33%,61.71%,61.11%,50.00%,64.15%,-22.06%,-49.25%,-60.59%,-27.35%,-28.66%,,-113,136,-311,463,026,094,-567,0.0%,-727,-720,-41.8%,-386,320,-62.8%,-149.2%,-433.1%,-8.4%,-8.8%,-120.9%,152,184,006,1754150000,16806000,1412640000,619803000,602997000,336159000,98781000,-147337000,-406428000,8099000,-52198000,-217295000,,,,,,
MNPR3,ON,MINUPAR ON,Alimentos,Carnes e Derivados,510,26/06/2020,360,710,38590,36210000,36404000,31/12/2019,7100000,-1.92%,31.78%,31.11%,7.37%,-13.56%,158.77%,-20.00%,-6.56%,-39.00%,-28.57%,,-110,-009,076,015,018,-009,-007,0.0%,068,076,2.8%,-465,-5530,28.4%,20.3%,-14.0%,23.9%,24.9%,8.4%,013,-000,118,199872000,283000,63079000,477000,194000,-392632000,235584000,47775000,-32998000,60484000,11769000,-38504000,,,,,,
PMAM3,ON,PARANAPANEMA SA ON,Siderurgia e Metalurgia,Artefatos de Cobre,1336,26/06/2020,749,4350,2983370,579877000,3264660000,31/03/2020,43404000,-0.30%,29.96%,31.76%,-38.26%,-54.07%,22.23%,-11.95%,4.61%,-27.62%,-6.25%,,-104,912,-467,012,014,-030,-026,0.0%,14339,-2629,-0.4%,-1281,146,0.2%,-2.6%,-11.6%,-3.0%,-3.7%,-874.4%,048,4410,118,4071090000,118932000,1773440000,2803710000,2684780000,63575000,4801000000,-124161000,-555924000,909750000,-12362000,-569790000,,,,,,
TECN3,ON NM,TECHNOS ON NM,Tecidos. Vestuário e Calçados,Acessórios,154,26/06/2020,095,407,585055,120899000,161914000,31/12/2019,78506000,-4.94%,30.51%,38.74%,-28.70%,-57.22%,46.34%,-30.70%,-1.39%,0.84%,-46.56%,,-099,035,-354,038,018,053,198,0.0%,-349,-474,-6.0%,-156,439,34.5%,-10.8%,-38.8%,-5.1%,-6.4%,-35.6%,241,030,047,676091000,60937000,392740000,101952000,41015000,344485000,316225000,-34185000,-122654000,104738000,11662000,-73629000,,,,,,
BBRK3,ON NM,BR Brokers ON NM,Construção e Engenharia,Intermediação Imobiliária,231,26/06/2020,121,694,2010590,83802900,27720900,31/12/2019,36278300,-6.48%,5.00%,4.52%,-55.15%,-60.85%,-6.35%,-36.36%,-32.65%,20.49%,-46.26%,,-094,034,-573,062,021,271,-168,0.0%,-1351,-190,-3.8%,-246,687,72.4%,-10.7%,-52.0%,-3.6%,-4.3%,-35.8%,149,-,034,402956000,56082000,94028000,0,-56082000,249073000,136112000,-14623000,-89128000,33578000,-5857000,-50527000,,,,,,
RPMG3,ON,REFINARIA DE PETRÓLEOS DE MANGUINHOS SA ON,Petróleo. Gás e Biocombustíveis,Exploração e/ou Refino e Distribuição,310,26/06/2020,183,1082,351608,209845000,209792000,31/12/2019,67692000,-4.62%,22.53%,25.51%,71.27%,-39.45%,71.24%,-62.15%,9.57%,100.28%,-30.77%,,-092,-008,-108,018,008,-009,-007,0.0%,-110,-108,15.5%,-338,-4106,3.2%,-16.4%,-19.3%,-7.8%,-7.9%,8.2%,049,-,048,2489900000,53000,2282790000,0,-53000,-2779490000,1185110000,-194905000,-228463000,-323050000,87895000,15962000,,,,,,
DMMO3,ON,DOMMO ON,Petróleo. Gás e Biocombustíveis,Exploração e/ou Refino e Distribuição,152,26/06/2020,048,1040,18862200,410461000,1078910000,31/03/2020,270040000,-5.00%,31.03%,23.58%,-55.94%,-48.12%,-70.10%,-5.77%,-53.15%,-62.99%,270.31%,,-085,-047,-633,096,032,-103,-021,0.0%,77619,-1663,2.2%,-179,-321,-0.3%,-15.1%,-112.4%,-5.1%,-5.8%,55.8%,034,-083,034,1265770000,49881000,204784000,718330000,668449000,-865738000,429790000,-64891000,-483148000,106087000,-54437000,-397451000,,,,,,
AZUL4,PN,AZUL PN,Transporte,Transporte Aéreo,2000,26/06/2020,1035,6241,489998000,6841800000,26229000000,31/03/2020,342090000,-5.66%,40.06%,35.59%,-52.82%,-65.68%,61.89%,33.83%,20.09%,0.00%,0.00%,,-079,-071,-499,058,036,-111,-027,0.0%,1097,-1911,20.0%,-2541,-2820,-0.8%,-11.7%,-74.3%,-7.3%,-8.9%,90.1%,037,-214,062,18816900000,1267380000,3572540000,20654600000,19387200000,-9646720000,11703000000,-1372200000,-8691390000,2802670000,158799000,-6150630000,,,,,,
AZEV4,PN,AZEVEDO & TRAVASSOS PN,Construção e Engenharia,Construção Pesada,520,26/06/2020,171,674,890000,28080000,62061000,31/12/2019,5400000,-4.24%,48.57%,69.38%,158.71%,16.85%,-8.25%,-8.49%,3.92%,-24.44%,-21.51%,,-078,-011,-210,1602,051,-014,-010,0.0%,-585,-464,-68.9%,-663,-4562,-398.0%,-763.5%,-2041.2%,-24.2%,-52.3%,14.5%,010,-014,003,55305000,46000,21255000,34027000,33981000,-246370000,1753000,-13384000,-35784000,-95847000,92518000,221217000,,,,,,
LUPA3,ON NM,LUPATECH ON NM,Máquinas e Equipamentos,Motores. Compressores e Outros,199,26/06/2020,094,307,1415250,49817700,213062000,31/03/2020,25034000,-2.45%,27.56%,34.46%,30.07%,3.65%,17.07%,-36.92%,-27.98%,94.09%,-94.07%,,-069,066,-151,377,010,039,-021,0.0%,-903,-645,-43.0%,-287,302,-11.8%,-249.9%,-533.3%,-6.5%,-6.7%,-95.1%,291,219,003,507785000,2129000,197043000,165373000,163244000,75601000,13210000,-33010000,-71921000,14294000,-4810000,-63872000,,,,,,
JBDU4,PN,J B DUARTE PN,Holdings Diversificadas,Holdings Diversificadas,158,26/06/2020,110,420,117059,7930020,12543000,30/09/2019,5019000,-4.24%,28.46%,32.77%,-47.33%,-24.76%,-79.41%,-66.34%,-42.27%,-70.84%,-13.67%,,-067,012,-073,-,004,-,-,0.0%,-115,-115,-,-235,1356,-,-,0.0%,-5.7%,-,-17.3%,-,-,-,191199000,1000,7000,4614000,4613000,68038000,0,-10898000,-11781000,0,0,-292000,,,,,,
CEED3,ON N1,CEEE-D ON N1,Energia Elétrica,Energia Elétrica,8800,22/06/2020,7203,11200,3861,851928000,1827620000,31/03/2020,9681000,0.00%,0.00%,0.00%,-12.00%,-12.00%,166.67%,25.04%,1.70%,47.45%,-64.29%,,-063,-021,-292,025,021,-025,-012,0.0%,-1277,-626,3.1%,-13869,-42301,0.1%,-8.5%,-39.1%,-7.1%,-8.3%,32.8%,026,-025,083,4130680000,35509000,1184910000,1011200000,975688000,-4095110000,3430470000,-291966000,-1342640000,947197000,6004000,-497637000,,,,,,
OIBR4,ON N1,OI ON N1,Telefonia Fixa,Telefonia Fixa,152,26/06/2020,085,179,3846250,9050390000,27215500000,31/03/2020,5954210000,-1.30%,38.18%,44.76%,-5.59%,23.58%,-2.38%,-50.39%,53.94%,15.38%,-76.82%,,-057,079,-543,046,012,115,-021,0.0%,520,-1634,-7.6%,-266,192,22.9%,-8.4%,-81.1%,-2.3%,-2.7%,-138.7%,168,214,027,73946600000,6275840000,19359300000,24441000000,18165100000,11425100000,19754700000,-1665770000,-15848900000,4748520000,-392917000,-6280070000,,,,,,
